Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
CZAIAVKCVKTXDB-PKRZOPRNNA-N,CHEMBL497963,3362,A,5.0,chembl20,556323,9606,HTR6,2105,N=1C=2C=CC=C(OCCN3CCC(CC3)CC=4C=CC=C(C4)N=S(C)(O)=O)C2C=CC1C
CZAYHMNNMGGUNI-HEGJIAMLNA-N,CHEMBL1834346,3362,A,7.3,chembl20,771219,9606,HTR6,2105,C(C1(C=NN(C1)/C(=N/S(=O)(C=2C=C(C=CC2)Cl)=O)/NCC)CC)C
CZAYHMNNMGGUNI-YWFSPISDNA-N,56593803,3362,A,7.3019,pubchem,621208,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)N/C(/N2N=CC(C2)(CC)CC)=N/CC)C=CC1
CZBRRHLYIHWSOA-UHFFFAOYNA-N,CHEMBL517503,3362,A,8.1,chembl20,535877,9606,HTR6,2105,C=1C=2N(C=CC2C=C3C1CCNCC3)S(C=4C=CSC4)(=O)=O
CZEUYEVFOZRSCP-CQSZACIVNA-N,CHEMBL609742,3362,A,8.89,chembl20,310551,9606,HTR6,2105,C=1C=CC(=C(C1)S(NC=2C=CC=3NC=C(C3C2)C[C@@H]4NCCC4)(=O)=O)Cl
CZHROXCCCQHSMO-MPIMZMORNA-N,CHEMBL1277916,3362,A,7.32,chembl20,684952,9606,HTR6,2105,O=S(=O)(C1=NNC2=C1C(=CC=C2)N3CCNCC3)C4=C5C(=CC=C4)C=CC=C5
CZPMNOSNQHHGTD-UHFFFAOYNA-N,CHEMBL471663,3362,A,5.0,chembl20,564585,9606,HTR6,2105,N=1C=2C=CSC2N3C=CC=C3C1OCC4CCN(CC4)CCCC
CZRJZZTYRIMAJY-FGZAEZAUNA-N,28864,3362,A,7.92082,pubchem,625221,9606,HTR6,2105,O=C(N[C@@H]1CN(C2=C(C3=C4C(C2)=CNC4=CC=C3)C1)C)N(CC)CC
DAKRZHYSOVYQMP-MPIMZMORNA-N,20901261,3362,A,6.82391,pubchem,492092,9606,HTR6,2105,ClC=1C=C(S(=O)(=O)C=2N=NN3C2N=C(NC(C4=CC=CC=C4)C)C=5SC=CC35)C=CC1
DALKVJHTYVRNFB-GPQMBLKYNA-N,49836715,3362,A,8.10791,pubchem,537071,9606,HTR6,2105,S(=O)(=O)(C=1NN=C2C1C=C(N3CCN(CC3)C)C=C2)C=4SC=CC4
DALKVJHTYVRNFB-HCKMINDGNA-N,CHEMBL1277010,3362,A,8.11,chembl20,684952,9606,HTR6,2105,C=1(N2CCN(CC2)C)C=CC=3NN=C(S(C4=CC=CS4)(=O)=O)C3C1
DAUBLWHUGYHXTF-UHFFFAOYNA-N,CHEMBL193450,3362,A,9.0,chembl20,320876,9606,HTR6,2105,S(N1C=C(C2CN(C)CC2)C=3C1=CC=CC3)(C4=CC=C(C=C4)I)(=O)=O
CTYXKOVPFGUJOK-UHFFFAOYNA-N,CHEMBL565746,3362,A,9.05,chembl20,598758,9606,HTR6,2105,C=1(N=C2SC=CN2C1S(C=3C=4C=CC=NC4N(C3)CCNC)(=O)=O)Cl
