,smiles,pXC50,Original_Entry_ID,DB,MW,HA,HD,logP,Lipinski rule
0,OC=1N(CN2C(CCC2)CC)C=NC=3C1N=C4C3C=CC=C4,4.9413537979126,3238198,pubchem_screening,296.374,5,1,3.0736,True
3,OC=1N(CN2C(CCC2)CC)C=NC=3C1N=C4C3C=CC=C4,4.9413537979126,3238198,pubchem,296.374,5,1,3.0736,True
241,OC=1N(C=NC=2C1N=C3C2C=CC=C3)CN4C(CCC4)CC,4.9413537979126,CHEMBL1392212,chembl20,296.374,5,1,3.0736,True
248,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)C3CCCCC3)C4=CC=CC=C4,4.99947500228882,4908209,pubchem_screening,378.519,4,2,3.8085,True
251,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)C3CCCCC3)C4=CC=CC=C4,4.99947500228882,4908209,pubchem,378.519,4,2,3.8085,True
406,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)C3CCCCC3)C4=CC=CC=C4,4.99947500228882,CHEMBL3213015,chembl20,378.519,4,2,3.8085,True
410,S1C(NC2CCN(CC2)CC3=CC(OC)=C(O)C=C3)=NC=4C1=CC=CC4,5.0000057220459,24740638,pubchem,369.49,6,2,4.087,True
411,S1C=2N3C(C(OCC4CCN(CC4)CC)=NC2C=C1)=CC=C3,5.00464200973511,9861687,pubchem,315.442,5,0,3.6597,True
412,N1=C(C2=CC=CN2C=3SC=CC31)OCC4CCN(CC4)CC,5.00464200973511,CHEMBL511312,chembl20,315.442,5,0,3.6597,True
418,S(N=C1[C@@H](C=2C=CC=CC2)CCC1)(O)(O)=C(C)C,5.01196241378784,CHEMBL304865,chembl20,267.394,3,3,4.0052,True
419,S=1(O)(O)=CC2=C(NC3CCN(CC3)CC(=O)O)N=C(N=C2C1)C4=CC=CC=C4,5.01793193817139,71625228,pubchem,402.476,7,4,2.1693,True
420,C1=C(C=C2C=CC(=CC2=C1)O)CCC(N=C3CCC(CC3C(O)=O)O)=O,5.01885557174683,CHEMBL1086356,chembl20,355.39,4,3,2.6912,True
421,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)CC3CCCCC3)C4=CC=CC=C4,5.02221155166626,4904239,pubchem_screening,392.546,4,2,4.1986,True
424,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)CC3CCCCC3)C4=CC=CC=C4,5.02221155166626,4904239,pubchem,392.546,4,2,4.1986,True
582,OC=1N(CN2CCC(CCCC3CCN(CC3)CN4C(O)=CC=C4O)CC2)C(O)=CC1,5.02461194992065,2804104,pubchem_screening,432.565,8,4,3.3215,True
585,S(C1=NC(O)=C(C(O)=N1)C=2C=CC=CC2)CCN(CC)CC,5.02704954147339,CHEMBL1538780,chembl20,319.43,6,2,2.9887,True
589,S(CCN(CC)CC)C1=NC(O)=C(C=2C=CC=CC2)C(O)=N1,5.02704954147339,2879228,pubchem_screening,319.43,6,2,2.9887,True
