,smiles,pXC50,Original_Entry_ID,DB,SMILES,MW,HA,HD,logP,Lipinski rule
0,OC=1N(CN2CCC(CCCC3CCN(CC3)CN4C(O)=CC=C4O)CC2)C(O)=CC1,5.074898719787598,2804104,pubchem_screening,OC=1N(CN2CCC(CCCC3CCN(CC3)CN4C(O)=CC=C4O)CC2)C(O)=CC1,432.5650000000001,8,4,3.321500000000002,True
3,OC=1N(C=NC=2C1N=C3C2C=CC=C3)CN4C(CCC4)CC,5.0785112380981445,CHEMBL1392212,chembl20,OC=1N(C=NC=2C1N=C3C2C=CC=C3)CN4C(CCC4)CC,296.3740000000001,5,1,3.0736000000000008,True
10,OC=1N(CN2C(CCC2)CC)C=NC=3C1N=C4C3C=CC=C4,5.0785112380981445,3238198,pubchem_screening,OC=1N(CN2C(CCC2)CC)C=NC=3C1N=C4C3C=CC=C4,296.37399999999997,5,1,3.0736000000000017,True
13,OC=1N(CN2C(CCC2)CC)C=NC=3C1N=C4C3C=CC=C4,5.0785112380981445,3238198,pubchem,OC=1N(CN2C(CCC2)CC)C=NC=3C1N=C4C3C=CC=C4,296.37399999999997,5,1,3.0736000000000017,True
251,C1(=C(C2=CC=CC=C2N1C)C(NCC(O)CO)=O)SSC3=C(C=4C=CC=CC4N3C)C(NCC(O)CO)=O,5.097253322601318,CHEMBL158797,chembl20,C1(=C(C2=CC=CC=C2N1C)C(NCC(O)CO)=O)SSC3=C(C=4C=CC=CC4N3C)C(NCC(O)CO)=O,558.6820000000002,10,6,1.635399999999999,False
253,O[N+]=1[N+](O)=C(C(=NO)C1C=2C=CC=CC2)CC,5.099035739898682,CHEMBL2140449,chembl20,O[N+]=1[N+](O)=C(C(=NO)C1C=2C=CC=CC2)CC,235.243,4,3,0.8888999999999994,True
254,N1=C(C#N)N=CC=2C=C(N(C3CCCCC3)C21)CC=4C=CC(CN(CC)CC)=CC4,5.105387210845947,CHEMBL430017,chembl20,N1=C(C#N)N=CC=2C=C(N(C3CCCCC3)C21)CC=4C=CC(CN(CC)CC)=CC4,401.5580000000001,5,0,5.240780000000005,False
255,C=12N([C@@H]3O[C@H](CO)[C@H](C3)O)C=NC1C(O)=NC(=N2)NC=4C=CC(=CC4)CCCC,5.10907506942749,CHEMBL2115349,chembl20,C=12N([C@@H]3O[C@H](CO)[C@H](C3)O)C=NC1C(O)=NC(=N2)NC=4C=CC(=CC4)CCCC,399.4510000000002,9,4,2.2588,True
256,S=1(O)(O)=CC2=C(NC3CCN(CC3)CC(=O)O)N=C(N=C2C1)C4=CC=CC=C4,5.111849308013916,71625228,pubchem,S=1(O)(O)=CC2=C(NC3CCN(CC3)CC(=O)O)N=C(N=C2C1)C4=CC=CC=C4,402.47600000000006,7,4,2.1693,True
257,O1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N2C(=C3C(=N2)C=CC=C3)CC4=CC=C(C=C4)CC)O)O)O)CO,5.116894721984863,CHEMBL2430320,chembl20,O1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N2C(=C3C(=N2)C=CC=C3)CC4=CC=C(C=C4)CC)O)O)O)CO,398.4590000000002,7,4,1.1618999999999997,True
258,N1(C=2C(=C(N)N=C(N2)NCCC3=CC=C(C=C3)CCC(O)=O)N=C1)C4[C@@H]([C@H](O)[C@H](O4)CO)O,5.1202287673950195,CHEMBL88070,chembl20,N1(C=2C(=C(N)N=C(N2)NCCC3=CC=C(C=C3)CCC(O)=O)N=C1)C4[C@@H]([C@H](O)[C@H](O4)CO)O,458.47500000000014,11,6,-0.30820000000000014,False
